run_id,timestamp,labels_path,n_train_images,d_model,n_layers,n_heads,epochs,lr,lr_schedule,batch_size,best_val_loss,word_accuracy,cer,n_params,train_time_sec,checkpoint_path,val_indices_path
run_20260810_195905,2026-08-10T20:30:55.454550,data/synth/train_v2/labels.txt,45000,256,3,8,30,0.0003,flat,128,0.1348,0.941,0.0207,4732583,1872.5,checkpoints/recognition\run_20260810_195905_best.pt,checkpoints/recognition\run_20260810_195905_val_indices.pt
run_20260908_212457,2026-09-08T22:01:02.647219,data/recognition/synth/train_v3/labels.txt,63000,256,3,8,45,0.0003,cosine,128,0.1561,0.919,0.0311,4732583,2119.9,checkpoints/recognition\run_20260908_212457_best.pt,checkpoints/recognition\run_20260908_212457_val_indices.pt
run_20260908_220346,2026-09-08T22:53:02.530952,data/recognition/synth/train_v3/labels.txt,63000,256,3,8,70,0.0003,cosine,256,0.1586,0.918,0.0327,4732583,2909.1,checkpoints/recognition\run_20260908_220346_best.pt,checkpoints/recognition\run_20260908_220346_val_indices.pt
run_20260908_231748,2026-09-09T00:15:41.298822,data/recognition/synth/train_v3/labels.txt,63000,256,3,8,70,0.0003,cosine,128,0.1474,0.943,0.0224,4732583,3421.0,checkpoints/recognition\run_20260908_231748_best.pt,checkpoints/recognition\run_20260908_231748_val_indices.pt
