run_id,timestamp,labels_path,n_train_images,d_model,n_layers,n_heads,epochs,lr,lr_schedule,batch_size,best_val_loss,word_accuracy,cer,n_params,train_time_sec,checkpoint_path,val_indices_path
run_20260810_195905,2026-08-10T20:30:55.454550,data/synth/train_v2/labels.txt,45000,256,3,8,30,0.0003,flat,128,0.1348,0.941,0.0207,4732583,1872.5,checkpoints/recognition\run_20260810_195905_best.pt,checkpoints/recognition\run_20260810_195905_val_indices.pt
run_20260908_212457,2026-09-08T22:01:02.647219,data/recognition/synth/train_v3/labels.txt,63000,256,3,8,45,0.0003,cosine,128,0.1561,0.919,0.0311,4732583,2119.9,checkpoints/recognition\run_20260908_212457_best.pt,checkpoints/recognition\run_20260908_212457_val_indices.pt
run_20260908_220346,2026-09-08T22:53:02.530952,data/recognition/synth/train_v3/labels.txt,63000,256,3,8,70,0.0003,cosine,256,0.1586,0.918,0.0327,4732583,2909.1,checkpoints/recognition\run_20260908_220346_best.pt,checkpoints/recognition\run_20260908_220346_val_indices.pt
run_20260908_231748,2026-09-09T00:15:41.298822,data/recognition/synth/train_v3/labels.txt,63000,256,3,8,70,0.0003,cosine,128,0.1474,0.943,0.0224,4732583,3421.0,checkpoints/recognition\run_20260908_231748_best.pt,checkpoints/recognition\run_20260908_231748_val_indices.pt
run_20260910_080211,2026-09-10T08:40:19.759371,data/recognition/synth/train_v3/labels.txt,63000,256,3,8,50,0.0003,flat,128,0.1583,0.929,0.0241,4732583,2244.4,checkpoints/recognition\run_20260910_080211_best.pt,checkpoints/recognition\run_20260910_080211_val_indices.pt
run_20260910_084456,2026-09-10T09:23:18.239553,data/recognition/synth/train_v3/labels.txt,63000,256,3,16,50,0.0003,cosine,128,0.1527,0.934,0.0222,4732583,2261.3,checkpoints/recognition\run_20260910_084456_best.pt,checkpoints/recognition\run_20260910_084456_val_indices.pt
run_20260910_092442,2026-09-10T10:06:45.308171,data/recognition/synth/train_v3/labels.txt,63000,256,4,16,50,0.0003,cosine,128,0.149,0.941,0.0202,5786023,2468.8,checkpoints/recognition\run_20260910_092442_best.pt,checkpoints/recognition\run_20260910_092442_val_indices.pt
run_20260910_100901,2026-09-10T11:06:59.560896,data/recognition/synth/train_v3/labels.txt,63000,384,4,16,70,0.0003,cosine,128,0.143,0.946,0.017,9769255,3428.1,checkpoints/recognition\run_20260910_100901_best.pt,checkpoints/recognition\run_20260910_100901_val_indices.pt
